epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.383,2.36524,3.75688,2.20725,0.69758,0.0653,0.08853,0.03257,2.11909,3.49861,2.01964,0.0099115,0.00330383,0.0099115,0.00330383,0.0099115,0.00330383,0.0099115,0.00330383
2,38.8771,2.19788,3.12741,2.05246,0.52206,0.21009,0.15322,0.06988,2.15292,2.74968,2.01252,0.0198721,0.00662403,0.0198721,0.00662403,0.0198721,0.00662403,0.0198721,0.00662403
3,54.6046,2.14568,2.85886,2.04234,0.3763,0.1683,0.12149,0.0458,2.15001,3.11578,2.14595,0.0297931,0.00993102,0.0297931,0.00993102,0.0297931,0.00993102,0.0297931,0.00993102
4,69.8267,2.15257,2.85822,2.07664,0.18851,0.27031,0.14784,0.06097,2.14439,3.35141,2.12797,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,85.1158,2.08908,2.7804,2.04764,0.43685,0.19379,0.18158,0.08675,2.28495,2.86167,2.29637,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,100.324,2.05825,2.72382,2.02469,0.24214,0.25225,0.17399,0.07087,2.02413,2.72227,2.05027,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,115.548,2.00538,2.63918,1.98978,0.27454,0.21214,0.20098,0.09855,2.05534,2.45529,2.02925,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,131.012,1.97977,2.58747,1.96637,0.311,0.36363,0.27437,0.14141,1.84378,2.26614,1.85876,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,146.287,1.93008,2.50581,1.91797,0.40788,0.31715,0.31775,0.16253,1.82763,2.11183,1.84173,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,161.768,1.89821,2.46309,1.89963,0.37613,0.35711,0.29646,0.15,1.75651,2.06419,1.81336,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,177.049,1.87998,2.4403,1.89173,0.38698,0.29412,0.28085,0.12975,1.79162,2.1951,1.78449,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,192.318,1.85302,2.41678,1.87791,0.49827,0.28651,0.27305,0.12499,1.83258,2.09896,1.86775,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,207.834,1.82843,2.36918,1.85604,0.44353,0.32214,0.28858,0.12786,1.8871,2.02905,1.92278,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,222.934,1.82895,2.35269,1.84881,0.34628,0.42105,0.33798,0.17572,1.6512,1.79856,1.68713,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,238.02,1.79616,2.30341,1.83225,0.45038,0.37987,0.33419,0.17924,1.62282,1.86793,1.67859,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,253.106,1.78574,2.29053,1.82357,0.44749,0.37256,0.36224,0.17927,1.6639,1.86254,1.70835,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,268.445,1.7714,2.24884,1.79505,0.48456,0.38379,0.35867,0.18505,1.64983,1.77834,1.70925,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,283.794,1.73503,2.22001,1.78695,0.38626,0.41059,0.36931,0.20194,1.62175,1.76465,1.66874,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,299.048,1.74218,2.22739,1.79658,0.45489,0.38337,0.34448,0.19626,1.59542,1.87731,1.64182,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,314.226,1.71816,2.1756,1.76128,0.52164,0.42865,0.39512,0.22189,1.56653,1.68253,1.61717,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,329.459,1.70088,2.13753,1.75362,0.37449,0.42361,0.37498,0.20584,1.58731,1.7592,1.63699,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,344.627,1.69136,2.1469,1.74979,0.4389,0.43359,0.40272,0.21566,1.51056,1.64872,1.58959,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,359.657,1.69608,2.10993,1.72046,0.38386,0.42031,0.35248,0.1884,1.56858,1.64065,1.61371,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,374.861,1.66798,2.09797,1.72715,0.39227,0.42981,0.39455,0.21295,1.58475,1.71201,1.62933,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,390.023,1.66885,2.06586,1.72175,0.5075,0.48999,0.4648,0.26776,1.52373,1.53273,1.57859,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,405.225,1.64783,2.05536,1.70587,0.539,0.50203,0.44449,0.25417,1.54555,1.50161,1.58614,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,420.305,1.6542,2.03415,1.70319,0.55374,0.47483,0.46753,0.27686,1.48858,1.50086,1.54852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,435.367,1.62976,2.01857,1.6916,0.53402,0.47008,0.44417,0.2547,1.4713,1.53484,1.55919,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
